"Date","Price","Open","High","Low","Vol.","Change %"
"18-07-2025","0.7458","0.7457","0.7460","0.7420","","0.05%"
"17-07-2025","0.7454","0.7452","0.7478","0.7445","","0.05%"
"16-07-2025","0.7450","0.7472","0.7483","0.7414","","-0.29%"
"15-07-2025","0.7472","0.7447","0.7475","0.7424","","0.34%"
"14-07-2025","0.7447","0.7407","0.7450","0.7402","","0.54%"
"11-07-2025","0.7407","0.7370","0.7418","0.7360","","0.56%"
"10-07-2025","0.7366","0.7359","0.7390","0.7342","","0.10%"
"09-07-2025","0.7359","0.7357","0.7373","0.7342","","0.03%"
"08-07-2025","0.7357","0.7353","0.7394","0.7327","","0.05%"
"07-07-2025","0.7353","0.7335","0.7367","0.7316","","0.40%"
"04-07-2025","0.7324","0.7322","0.7335","0.7308","","0.01%"
"03-07-2025","0.7323","0.7333","0.7361","0.7312","","-0.14%"
"02-07-2025","0.7333","0.7275","0.7374","0.7271","","0.80%"
"01-07-2025","0.7275","0.7281","0.7298","0.7252","","-0.08%"
"30-06-2025","0.7281","0.7300","0.7314","0.7277","","-0.14%"
"27-06-2025","0.7291","0.7282","0.7309","0.7271","","0.10%"
"26-06-2025","0.7284","0.7318","0.7324","0.7261","","-0.46%"
"25-06-2025","0.7318","0.7345","0.7359","0.7314","","-0.37%"
"24-06-2025","0.7345","0.7394","0.7404","0.7326","","-0.66%"
"23-06-2025","0.7394","0.7446","0.7480","0.7390","","-0.55%"
"20-06-2025","0.7435","0.7426","0.7440","0.7400","","0.13%"
"19-06-2025","0.7425","0.7447","0.7473","0.7423","","-0.35%"
"18-06-2025","0.7451","0.7445","0.7463","0.7419","","0.05%"
"17-06-2025","0.7447","0.7364","0.7455","0.7361","","1.11%"
"16-06-2025","0.7365","0.7372","0.7390","0.7340","","-0.09%"
"13-06-2025","0.7372","0.7346","0.7399","0.7335","","0.35%"
"12-06-2025","0.7346","0.7378","0.7396","0.7339","","-0.49%"
"11-06-2025","0.7382","0.7409","0.7428","0.7370","","-0.36%"
"10-06-2025","0.7409","0.7377","0.7432","0.7371","","0.39%"
"09-06-2025","0.7380","0.7392","0.7396","0.7362","","-0.19%"
"06-06-2025","0.7394","0.7365","0.7404","0.7360","","0.34%"
"05-06-2025","0.7369","0.7376","0.7386","0.7343","","-0.12%"
"04-06-2025","0.7378","0.7398","0.7407","0.7363","","-0.27%"
"03-06-2025","0.7398","0.7387","0.7412","0.7373","","0.20%"
"02-06-2025","0.7383","0.7431","0.7434","0.7374","","-0.62%"
"30-05-2025","0.7429","0.7413","0.7437","0.7401","","0.22%"
"29-05-2025","0.7413","0.7422","0.7456","0.7403","","-0.16%"
"28-05-2025","0.7425","0.7402","0.7435","0.7394","","0.28%"
"27-05-2025","0.7404","0.7372","0.7408","0.7359","","0.42%"
"26-05-2025","0.7373","0.7398","0.7401","0.7356","","-0.19%"
"23-05-2025","0.7387","0.7452","0.7457","0.7384","","-0.87%"
"22-05-2025","0.7452","0.7452","0.7468","0.7439","","0.00%"
"21-05-2025","0.7452","0.7466","0.7474","0.7424","","-0.19%"
"20-05-2025","0.7466","0.7484","0.7500","0.7465","","-0.24%"
"19-05-2025","0.7484","0.7537","0.7539","0.7460","","-0.65%"
"16-05-2025","0.7533","0.7518","0.7548","0.7499","","0.20%"
"15-05-2025","0.7518","0.7540","0.7543","0.7507","","-0.29%"
"14-05-2025","0.7540","0.7514","0.7546","0.7484","","0.33%"
"13-05-2025","0.7515","0.7590","0.7594","0.7509","","-0.99%"
"12-05-2025","0.7590","0.7530","0.7611","0.7518","","0.98%"
"09-05-2025","0.7516","0.7549","0.7569","0.7505","","-0.44%"
"08-05-2025","0.7549","0.7521","0.7556","0.7486","","0.33%"
"07-05-2025","0.7524","0.7480","0.7531","0.7471","","0.59%"
"06-05-2025","0.7480","0.7522","0.7542","0.7460","","-0.56%"
"05-05-2025","0.7522","0.7534","0.7543","0.7497","","-0.16%"
"02-05-2025","0.7534","0.7529","0.7540","0.7501","","0.07%"
"01-05-2025","0.7529","0.7502","0.7542","0.7492","","0.36%"
"30-04-2025","0.7502","0.7459","0.7514","0.7454","","0.58%"
"29-04-2025","0.7459","0.7444","0.7474","0.7437","","0.26%"
"28-04-2025","0.7440","0.7523","0.7531","0.7437","","-0.93%"
"25-04-2025","0.7510","0.7495","0.7534","0.7493","","0.20%"
"24-04-2025","0.7495","0.7543","0.7546","0.7490","","-0.66%"
"23-04-2025","0.7545","0.7499","0.7557","0.7496","","0.59%"
"22-04-2025","0.7501","0.7476","0.7504","0.7449","","0.35%"
"21-04-2025","0.7475","0.7532","0.7534","0.7449","","-0.59%"
"18-04-2025","0.7519","0.7538","0.7546","0.7518","","-0.24%"
"17-04-2025","0.7538","0.7549","0.7575","0.7533","","-0.18%"
"16-04-2025","0.7551","0.7559","0.7569","0.7522","","-0.09%"
"15-04-2025","0.7558","0.7582","0.7597","0.7545","","-0.30%"
"14-04-2025","0.7581","0.7644","0.7656","0.7574","","-0.82%"
"11-04-2025","0.7644","0.7710","0.7714","0.7607","","-0.85%"
